"","...1","ID","net_inc_percap2019","net_inc2019","plr","year","Nom","udc","pdc","ps","pes","pvl","pbd","pev_pcs","perc","dec","taux_participation"
"1966",1966,249,51755,204,22.8,2019,"Unterengstringen",38.5,3.4,10.2,6.7,12.6,0.7,2.5,92,10,40.7
"1967",1967,4013,34875,148,17.8,2019,"Unterentfelden",26.3,6.9,17.9,8.8,8.4,3.5,6.6,50,6,49.4
"1968",1968,1375,31474,75,8.7,2019,"Unteriberg",69.3,16.6,2.8,0.7,1.7,NA,0.2,29,3,54
"1969",1969,4146,30046,94,13.4,2019,"Unterkulm",42,4,15.8,8.4,4,2.9,4.2,21,3,40.8
"1970",1970,945,26854,27,2.5,2019,"Unterlangenegg",61.9,0.3,4.6,5.4,6,7.4,4.7,8,1,47.5
"1971",1971,4079,46161,68,10.3,2019,"Unterlunkhofen",40.2,11.2,11,9.9,9.4,3.8,0.7,87,9,45.1
"1972",1972,2463,47836,10,23.7,2019,"Unterramsern",29.9,14.7,9.5,3.4,9.1,9.5,0.2,89,9,50.3
"1973",1973,1219,22497,16,NA,2019,"Unterschächen",59.8,37.9,0.8,NA,NA,NA,NA,2,1,48.5
"1974",1974,593,35594,208,10.8,2019,"Unterseen",27.8,0.8,16.9,10.9,10.3,8.4,4.7,55,6,46.9
"1975",1975,4044,36285,262,15,2019,"Untersiggenthal",27.2,11.7,17.5,12.6,8.3,2.1,2.7,58,6,49.4
"1976",1976,3946,35223,89,6.6,2019,"Untervaz",38.4,14.6,24.1,4.8,6.3,5.1,NA,53,6,38.2
"1977",1977,1709,52888,469,13.3,2019,"Unterägeri",31.5,26.6,7.5,14.7,5.3,NA,1,93,10,53.8
"1978",1978,250,38913,388,12.9,2019,"Urdorf",32.9,7.7,15.9,9.4,12.7,2.3,3.5,70,7,40.2
"1979",1979,3670,36665,5,10.3,2019,"Urmein",24.7,10.1,7.4,4.8,4.5,38.2,NA,60,6,64.7
"1980",1980,3006,26628,60,27.7,2019,"Urnäsch",71,NA,NA,NA,NA,NA,NA,7,1,41.1
"1981",1981,344,25814,23,2.8,2019,"Ursenbach",50.8,0.5,6,7.5,5.2,11.4,2.3,5,1,42.8
"1982",1982,5932,39964,9,18,2019,"Ursins",48.2,0.3,5.7,9.8,11.1,0.3,1.5,74,8,41.6
"1983",1983,2102,32857,107,16.1,2019,"Ursy",27.6,13.2,19.2,10.4,5.7,0.5,3.9,38,4,34.5
